EXT_SOURCE_2,EXT_SOURCE_3,EXT_SOURCE_1,AMT_ANNUITY,DAYS_EMPLOYED,CODE_GENDER,PAYMENT_RATE,INSTAL_DPD_MEAN,NAME_EDUCATION_TYPE_Higher education,INSTAL_AMT_PAYMENT_SUM,PREV_CNT_PAYMENT_MEAN,NAME_FAMILY_STATUS_Married,AMT_GOODS_PRICE,APPROVED_CNT_PAYMENT_MEAN,OWN_CAR_AGE,BURO_AMT_CREDIT_SUM_DEBT_MEAN,DAYS_BIRTH,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_APP_CREDIT_PERC_MIN,ANNUITY_INCOME_PERC,TARGET,SK_ID_CURR,PRED,PREDproba,cluster
0.6153389444633349,,,17410.5,-569.0,0,0.1139281507656066,0.0,1,453241.62,14.0,1,135000.0,9.0,15.0,2568748.5,-10951,0.21428571428571427,0.6660488821962238,0.096725,0.0,446510,0.0,0.25302689356027996,3
0.6272134837946951,,0.3381056777836885,31027.5,-701.0,1,0.0287771285475793,,0,,,1,900000.0,,6.0,5798358.0,-9866,,,0.197,0.0,290694,0.0,0.31955434654152803,6
0.6544334543462699,0.3233112448967859,0.5330628928849515,32760.0,-2396.0,1,0.054466556935508004,0.6111111111111112,0,751522.2749999999,22.4,1,450000.0,13.333333333333334,10.0,683010.0,-15760,0.2,0.8632596685082873,0.16177777777777777,0.0,199314,0.0,0.44620627178747896,2
0.3886785918946864,0.3108182544189319,0.5372628591744097,9000.0,-1398.0,1,0.05,1.0,0,109067.21999999999,6.0,1,180000.0,6.0,7.0,1412835.75,-9718,0.0,1.055363321799308,0.05,0.0,376171,1.0,0.5600940490984623,3
0.5319560057814744,0.4596904504249018,0.7150675502181061,47322.0,-3563.0,1,0.04248545572074984,0.1906779661016949,0,2633044.275000003,12.090909090909092,1,900000.0,12.090909090909092,,41833.730769230766,-18611,0.0,0.0,0.22374468085106383,0.0,154519,1.0,0.8166805089741906,0
0.6791262852117619,0.6263042766749393,,30528.0,-181.0,1,0.03239732569245463,10.428571428571429,0,132460.605,10.0,1,675000.0,10.0,,5511546.0,-13842,0.0,1.111119490215301,0.045226666666666665,0.0,374885,0.0,0.4866694776427255,6
0.7372577034551809,0.5919766183185521,0.6726942384434931,28350.0,-1780.0,1,0.05201453104359313,0.045454545454545456,1,501767.2800000002,20.0,1,450000.0,12.0,9.0,1146493.5,-9515,0.3333333333333333,0.0,0.21,0.0,365033,1.0,0.8431082200847119,3
0.2652563401861944,0.3556387169923543,0.6060953946647795,25785.0,-1593.0,1,0.042247290422472904,0.38461538461538464,0,422052.0300000002,6.571428571428571,0,463500.0,6.571428571428571,0.0,695120.4,-10857,0.0,0.8778406059959458,0.10418181818181818,0.0,257058,1.0,0.630425401974781,1
0.4244314348326637,0.7557400501752248,,19039.5,-1811.0,1,0.03616301133352707,0.0,0,395906.04,15.0,1,454500.0,15.0,,2755683.0,-9505,0.0,1.0,0.2287027027027027,0.0,234832,1.0,0.6513352294212984,3
0.5344760023876667,0.4014074137749511,,22081.5,-1759.0,0,0.06721917808219179,1.7884615384615385,0,759597.39,16.0,0,328500.0,16.0,,255198.1725,-14324,0.6666666666666666,0.6864595846919512,0.122675,0.0,353007,0.0,0.18803780324442176,2
0.5409336493056489,0.6956219298394389,,23719.5,-978.0,1,0.09889305816135084,0.025510204081632654,0,2462291.595000001,5.5,1,225000.0,5.5,8.0,0.0,-16664,0.0,0.0,0.1757,0.0,353647,1.0,0.7168292819574372,0
0.6245714078958158,0.7850520263728172,,13500.0,-6966.0,0,0.05,0.0,0,166501.305,12.0,0,270000.0,12.0,9.0,22138.6875,-14392,0.0,0.9209832201582581,0.10714285714285714,0.0,299929,1.0,0.6394317169526367,1
0.1826116089526451,,0.3044715811355267,18441.0,-3791.0,1,0.027693680056225335,,1,,,0,477000.0,,6.0,6160918.5,-11591,,,0.11708571428571428,0.0,184862,0.0,0.23340023300657775,6
0.4297660048166607,0.4471785780453068,0.7911511364514211,45954.0,,1,0.05106,0.0,0,4101680.2049999987,38.4,1,900000.0,33.0,,246802.5,-23758,0.2,0.8782715615668365,0.20424,0.0,392451,1.0,0.7127045972684628,5
0.7394839336677697,,,67500.0,,0,0.05,,1,,,1,1350000.0,,,,-19186,,,0.15560165975103735,0.0,293464,0.0,0.3371776538239476,4
0.3650719470592314,0.7583930617144343,0.6940955364203786,20965.5,-5313.0,1,0.04262814061156148,,1,,,1,373500.0,,,32616.0,-19183,,,0.25883333333333336,0.0,342236,1.0,0.7324173415797238,1
0.5754921141035498,0.4614823912998385,,69912.0,-1268.0,0,0.055941235777041624,0.2,1,223216.74000000002,6.0,1,1125000.0,6.0,1.0,1898640.642857143,-14743,0.5,1.0,0.12946666666666667,0.0,168449,1.0,0.5426263592142706,3
0.5503339946659463,,0.830458205340114,32431.5,-1103.0,1,0.03981767955801105,0.0,0,2149211.475,15.0,1,814500.0,15.0,15.0,,-18964,0.0,0.9451081203689702,0.20591428571428572,0.0,328990,1.0,0.5636034222043155,0
0.4831210591487106,0.5779691187553125,0.2297818701101922,17775.0,-2738.0,0,0.079,1.5142857142857142,0,194507.95500000005,11.5,1,225000.0,11.5,12.0,2777971.5,-14267,0.0,0.904417307402382,0.11285714285714285,0.0,197564,1.0,0.6025683818080921,3
,0.3996756156233169,0.4461063500423352,27013.5,,1,0.042574468085106384,0.10948905109489052,0,5771382.344999999,23.0,0,634500.0,23.0,,27610.3125,-21938,0.0,0.7765697803416907,0.10005,0.0,346294,0.0,0.3605323444877925,5
0.6582953653708744,0.4276573700350293,,60529.5,-513.0,0,0.079178488597968,0.6363636363636364,0,99908.99999999997,24.0,0,652500.0,24.0,,8100000.0,-16927,0.0,0.7953163885602382,0.13451,0.0,444812,0.0,0.2716076281385901,6
0.7474618058346951,0.5531646987710016,,106582.5,-1903.0,0,0.05486703113417346,,1,,,1,1800000.0,,3.0,1778232.0,-17194,,,0.1579,0.0,111949,1.0,0.6738176882919342,3
0.5328324811862531,0.7106743858828587,,23346.0,-4044.0,1,0.03705714285714286,,1,,,1,630000.0,,,1402914.375,-11527,,,0.1136896544167598,0.0,442934,1.0,0.647017993137308,3
0.6537061259111632,0.3740208032583212,0.8530216358938635,19125.0,-5848.0,1,0.05,0.7111111111111111,0,1065647.7,29.53846153846154,0,382500.0,30.0,,106040.25,-21620,0.6923076923076923,0.0,0.08854166666666667,0.0,442326,1.0,0.6690626058760513,2
0.5825972229913853,0.5797274227921155,0.5195061364682375,30717.0,-2885.0,1,0.06710907929017353,1.37,0,1020746.2500000002,12.4,0,414000.0,6.666666666666667,,81996.75,-13105,0.4,0.0,0.13652,0.0,145118,1.0,0.648348965648049,2
0.4461872528079428,0.2807895743848605,0.3188955713815598,18621.0,-1654.0,1,0.03796051665932776,0.015625,1,255868.60500000013,12.0,0,405000.0,12.0,17.0,72418.584375,-12579,0.0,0.0,0.13793333333333332,0.0,307449,0.0,0.45660488766319296,1
0.7352917562341751,0.6528965519806539,,38331.0,-1832.0,0,0.03555091819699499,0.0,1,211330.48500000007,19.333333333333332,0,900000.0,11.0,11.0,10005777.0,-14723,0.3333333333333333,1.0,0.056786666666666666,0.0,441357,1.0,0.7537814888791518,6
0.6959692464358666,0.5280927512030451,0.8573747149154288,20889.0,-1456.0,1,0.04263017724308936,0.21774193548387097,1,3115697.400000004,31.5,1,423000.0,31.5,,607299.0,-17549,0.0,0.0,0.15473333333333333,0.0,426119,1.0,0.7969231852967794,0
0.6643001554310195,,0.5905909902821062,16132.5,-947.0,0,0.05121428571428571,,1,,,1,315000.0,,,7128805.5,-9581,,,0.0717,0.0,327778,1.0,0.5375411344453339,6
0.5731291245465876,,0.1284342236929045,35388.0,-231.0,0,0.04810904063329704,0.0,0,159798.15,6.0,0,585000.0,6.0,,11756146.5,-8432,0.0,1.1111111111111112,0.13106666666666666,0.0,358587,0.0,0.2796993669898751,6
0.7614351571331488,0.5902333386185574,,38331.0,-571.0,0,0.03555091819699499,10.838709677419354,0,145980.71999999997,24.0,1,900000.0,24.0,8.0,4524.0,-11415,0.0,1.0,0.17036,0.0,264779,1.0,0.5589931985472221,4
0.6886656017717592,0.524496446363472,0.4505882212190749,39496.5,-1277.0,0,0.07246532364597094,0.16666666666666666,0,285988.59,16.0,0,450000.0,17.0,8.0,12885.0,-15530,0.3,0.9044921721343718,0.219425,0.0,256999,1.0,0.5859374909417685,1
0.7466312193886749,0.4471785780453068,,42124.5,-2028.0,1,0.03314942561298639,0.0,1,5146330.184999999,19.2,0,1138500.0,19.2,,258625.1025,-21643,0.0,0.76449942662543,0.09361,0.0,108086,1.0,0.5378192494820455,5
0.3100029652396353,0.5316861425197883,0.5034811110560785,22608.0,-2694.0,0,0.026375195556535527,,0,,,1,715500.0,,15.0,1721895.4285714286,-10496,,,0.14354285714285714,0.0,275069,1.0,0.7959360520273628,3
0.7071987708843119,0.5478104658520093,,10309.5,,1,0.036375472357181415,0.0,0,357527.1599999999,10.0,0,234000.0,10.0,,102735.0,-21361,0.0,0.9380863039399625,0.15273333333333333,0.0,442070,1.0,0.7158959445931589,1
0.5611153364686388,,,19876.5,-907.0,0,0.10838731841382018,1.894736842105263,0,958787.55,16.0,1,162000.0,16.0,5.0,,-18259,0.0,0.7874222420535972,0.17668,0.0,241363,0.0,0.2253593497980667,2
0.7636485619996934,0.0861616623809292,0.5100873333199166,53455.5,-2445.0,1,0.04247050411154809,0.09090909090909091,1,241750.395,12.0,1,1125000.0,12.0,,1577254.5,-13051,0.0,1.0,0.19798333333333334,0.0,276339,1.0,0.6392620050679731,3
0.601607544981177,0.6479768603302221,0.3094396840906975,22356.0,-2248.0,1,0.02941071999431677,0.3235294117647059,1,262805.75999999995,10.666666666666666,1,634500.0,10.666666666666666,11.0,44694.0,-10646,0.0,0.8586481113320079,0.4968,0.0,261988,1.0,0.7329552469282821,1
